Boy-Girl,Grade,Team,Date,Game,Time,Location,Team 1,Team 2
Boys,3,St Pats-Arm Black 3A2,2025-11-22,P6,10:15:00,St Patrick-Yorktown,St Pats-York White 3A2,St Pats-Arm Black 3A2
Boys,3,St Pats-Arm Black 3A2,2025-12-06,P9,14:45:00,St Patrick-Armonk,St Pats-Arm Black 3A2,St Vito Gold 3A2
Boys,3,St Pats-Arm Black 3A2,2025-12-13,P37,16:00:00,St Gregory-Harrison,St Gregory Gold^^ 3A2,St Pats-Arm Black 3A2
Boys,3,St Pats-Arm Black 3A2,2025-12-14,P22,13:00:00,St Patrick-Armonk,St Pats-Arm Black 3A2,Holy Family-NR Blue 3A2
Boys,3,St Pats-Arm Black 3A2,2025-12-20,P52,16:30:00,IC-Tuckahoe,IC-Tuck White 3A2,St Pats-Arm Black 3A2
Boys,3,St Pats-Arm Black 3A2,2025-12-21,P35,15:30:00,St Patrick-Armonk,St Pats-Arm Black 3A2,St John-Mah White 3A2
Boys,3,St Pats-Arm Black 3A2,2026-01-10,P48,16:00:00,St Patrick-Armonk,St Pats-Arm Black 3A2,Reformed CH Blue^^ 3A2
Boys,3,St Pats-Arm Black 3A2,2026-01-17,P67,14:00:00,OLPH/St Catharine-Pelham,OLPH-Pel Gold 3A2,St Pats-Arm Black 3A2
Boys,3,St Pats-Arm Black 3A2,2026-01-18,P61,14:15:00,St Patrick-Armonk,St Pats-Arm Black 3A2,Holy Name-Cr White 3A2
Boys,3,St Pats-Arm Black 3A2,2026-01-25,P74,14:15:00,St Patrick-Armonk,St Pats-Arm Black 3A2,St Anthony-WH Navy 3A2
Boys,3,St Pats-Arm Black 3A2,2026-01-31,P87,17:15:00,St Patrick-Armonk,St Pats-Arm Black 3A2,St Mary-Kat 3A2
Boys,3,St Pats-Arm Black 3A2,2026-02-07,P82,15:15:00,St Joseph-Bronxville,St Joes-Bxville White 3A2,St Pats-Arm Black 3A2
Boys,3,St Pats-Arm Green 3A4,2025-11-22,P8,13:00:00,St James-Carmel,St James 3A4,St Pats-Arm Green 3A4
Boys,3,St Pats-Arm Green 3A4,2025-12-06,P17,09:45:00,St Patrick-Armonk,St Pats-Arm Green 3A4,St Aug-Oss White 3A4
Boys,3,St Pats-Arm Green 3A4,2025-12-13,P34,17:00:00,HI-Pleasantville MS,Holy Innocent White 3A4,St Pats-Arm Green 3A4
Boys,3,St Pats-Arm Green 3A4,2025-12-20,P60,12:00:00,St John Mary-Harvey Sch,St John Mary 3A4,St Pats-Arm Green 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-03,P21,09:45:00,Holy Rosary-Hawthorne,Holy Rosary Blue 3A4,St Pats-Arm Green 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-04,P28,13:00:00,St Patrick-Armonk,St Pats-Arm Green 3A4,Holy Name-Cr Red 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-11,P6,14:15:00,St Patrick-Armonk,St Pats-Arm Green 3A4,St John-Mah Blue 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-17,P39,11:00:00,St Patrick-Armonk,St Pats-Arm Green 3A4,Holy Name-Val Maroon 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-24,P73,08:30:00,St Patrick-Armonk,St Pats-Arm Green 3A4,St Pats-Bed 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-25,P47,11:15:00,OL Loretto-Garrison Sch,OL Loretto-CS ^^ 3A4,St Pats-Arm Green 3A4
Boys,3,St Pats-Arm Green 3A4,2026-01-31,P50,08:30:00,St Patrick-Armonk,St Pats-Arm Green 3A4,St Gregory Blue 3A4
Boys,3,St Pats-Arm Green 3A4,2026-02-08,P61,12:15:00,Ann Seton-VanCortland ES,Ann Seton 3A4,St Pats-Arm Green 3A4
Boys,3,St Pats-Arm White 3A2,2025-11-22,P8,13:30:00,St Patrick-Armonk,St Pats-Arm White 3A2,Holy Family-NR Blue 3A2
Boys,3,St Pats-Arm White 3A2,2025-11-23,P7,17:15:00,St Vito-Mamaroneck,St Vito Gold 3A2,St Pats-Arm White 3A2
Boys,3,St Pats-Arm White 3A2,2025-12-07,P38,14:45:00,Reformed Church Brnxvill,Reformed CH Blue^^ 3A2,St Pats-Arm White 3A2
Boys,3,St Pats-Arm White 3A2,2025-12-20,P86,08:30:00,St Patrick-Armonk,St Pats-Arm White 3A2,St Pats-York White 3A2
Boys,3,St Pats-Arm White 3A2,2025-12-21,P53,16:15:00,HNHoly Name-Croton,Holy Name-Cr White 3A2,St Pats-Arm White 3A2
Boys,3,St Pats-Arm White 3A2,2026-01-03,P21,08:30:00,St Patrick-Armonk,St Pats-Arm White 3A2,St Pats-Arm Black 3A2
Boys,3,St Pats-Arm White 3A2,2026-01-10,P47,12:15:00,St Patrick-Armonk,St Pats-Arm White 3A2,IC-Tuck White 3A2
Boys,3,St Pats-Arm White 3A2,2026-01-11,P23,12:30:00,St Johns-Mahopac,St John-Mah White 3A2,St Pats-Arm White 3A2
Boys,3,St Pats-Arm White 3A2,2026-01-17,P68,09:30:00,St Anthony-W. Harrison,St Anthony-WH Navy 3A2,St Pats-Arm White 3A2
Boys,3,St Pats-Arm White 3A2,2026-01-18,P83,12:45:00,St Mary-Katonah,St Mary-Kat 3A2,St Pats-Arm White 3A2
Boys,3,St Pats-Arm White 3A2,2026-01-24,P73,11:00:00,St Patrick-Armonk,St Pats-Arm White 3A2,St Joes-Bxville White 3A2
Boys,3,St Pats-Arm White 3A2,2026-02-01,P34,14:15:00,St Patrick-Armonk,St Pats-Arm White 3A2,St Gregory Gold^^ 3A2
Boys,3,St Pats-Arm White 3A2,2026-02-07,P60,08:30:00,St Patrick-Armonk,St Pats-Arm White 3A2,OLPH-Pel Gold 3A2
Boys,4,St Pats-Arm Green 4C2,2025-12-06,P22,08:30:00,St Patrick-Armonk,St Pats-Arm Green 4C2,Sacred Heart-Harts 4C2
Boys,4,St Pats-Arm Green 4C2,2025-12-07,P8,16:00:00,St Ann-Ossining,St Ann-Oss White^^ 4C2,St Pats-Arm Green 4C2
Boys,4,St Pats-Arm Green 4C2,2025-12-20,P19,12:15:00,Holy Name-Valhalla,Holy Name-Val Black 4C2,St Pats-Arm Green 4C2
Boys,4,St Pats-Arm Green 4C2,2026-01-03,P4,13:30:00,St Patrick-Armonk,St Pats-Arm Green 4C2,St James 4C2
Boys,4,St Pats-Arm Green 4C2,2026-01-04,P30,12:00:00,St Augustine-Ossining,St Aug-Oss Blue 4C2,St Pats-Arm Green 4C2
Boys,4,St Pats-Arm Green 4C2,2026-01-17,P31,13:30:00,St Patrick-Armonk,St Pats-Arm Green 4C2,Holy Name-Cr 4C2
Boys,4,St Pats-Arm Green 4C2,2026-01-24,P40,13:30:00,St Patrick-Armonk,St Pats-Arm Green 4C2,St Pats-York 4C2
Boys,4,St Pats-Arm Green 4C2,2026-01-25,P42,13:45:00,St Patrick-Bedford,St Pats-Bed 4C2,St Pats-Arm Green 4C2
Boys,4,St Pats-Arm Green 4C2,2026-01-31,P53,11:00:00,St Patrick-Armonk,St Pats-Arm Green 4C2,St Ann-Oss White^^ 4C2
Boys,4,St Pats-Arm Green 4C2,2026-02-01,P13,15:30:00,St Patrick-Armonk,St Pats-Arm Green 4C2,Holy Name-Val Grey^^ 4C2
Boys,4,St Pats-Arm Green 4C2,2026-02-07,P49,09:15:00,St James-Carmel,St James 4C2,St Pats-Arm Green 4C2
